ID,group,trial_number,trial_type,trial_role,token_opp,token_self,combined_earning,split_opp,split_self,splitperc_opp,splitperc_self,accept,accepted_amount,accepted_perc,proposed_perc,proposed_amount
1002,Control,22,3,1,3,2,15,9.75,5.25,65,35,1.0,5.25,35.0,,
1002,Control,23,1,1,2,2,12,10.8,1.2,90,10,0.0,0.0,0.0,,
1002,Control,24,1,2,2,2,12,6.0,6.0,50,50,,,,40.0,4.8
1002,Control,25,3,2,3,2,15,7.5,7.5,50,50,,,,50.0,7.5
1002,Control,26,3,1,2,1,9,4.5,4.5,50,50,1.0,4.5,50.0,,
1002,Control,27,2,2,1,2,9,4.5,4.5,50,50,,,,40.0,3.6
1002,Control,28,1,1,3,3,18,13.5,4.5,75,25,0.0,0.0,0.0,,
1002,Control,29,1,2,2,2,12,6.0,6.0,50,50,,,,50.0,6.0
1002,Control,30,3,1,3,2,15,11.25,3.75,75,25,0.0,0.0,0.0,,
1002,Control,31,1,1,2,2,12,7.8,4.2,65,35,0.0,0.0,0.0,,
1002,Control,32,3,1,2,1,9,5.4,3.6,60,40,1.0,3.6,40.0,,
1002,Control,33,1,2,1,1,6,3.0,3.0,50,50,,,,50.0,3.0
1002,Control,34,2,1,1,2,9,6.3,2.7,70,30,0.0,0.0,0.0,,
1002,Control,35,2,1,2,3,15,12.0,3.0,80,20,0.0,0.0,0.0,,
1002,Control,36,2,1,2,3,15,9.75,5.25,65,35,0.0,0.0,0.0,,
1002,Control,37,2,2,1,2,9,4.5,4.5,50,50,,,,30.0,2.7
1002,Control,38,2,2,1,2,9,4.5,4.5,50,50,,,,30.0,2.7
1002,Control,39,1,1,2,2,12,9.6,2.4,80,20,0.0,0.0,0.0,,
1002,Control,40,2,1,2,3,15,9.75,5.25,65,35,0.0,0.0,0.0,,
1002,Control,41,1,1,3,3,18,9.0,9.0,50,50,1.0,9.0,50.0,,
1002,Control,42,3,2,2,1,9,4.5,4.5,50,50,,,,50.0,4.5
1002,Control,43,2,1,1,2,9,4.5,4.5,50,50,1.0,4.5,50.0,,
1002,Control,44,1,1,2,2,12,7.8,4.2,65,35,0.0,0.0,0.0,,
1002,Control,45,1,1,1,1,6,3.6,2.4,60,40,1.0,2.4,40.0,,
1002,Control,46,3,1,2,1,9,6.75,2.25,75,25,1.0,2.25,25.0,,
1002,Control,47,3,2,2,1,9,4.5,4.5,50,50,,,,50.0,4.5
1002,Control,48,2,1,1,2,9,7.2,1.8,80,20,0.0,0.0,0.0,,
1002,Control,49,2,2,2,3,15,7.5,7.5,50,50,,,,40.0,6.0
